step,robot_task_count,task_count,timestamp,h_action
0,0,0,1563361981.792115,
1,0,0,1563361994.888514,3.0
2,0,0,1563361997.699538,0.0
3,0,0,1563361998.756743,2.0
4,0,0,1563361999.707155,0.0
5,0,0,1563362001.199479,2.0
6,1,1,1563362002.314177,0.0
7,0,0,1563362005.4868321,1.0
8,0,0,1563362008.691773,2.0
9,0,0,1563362011.3162858,1.0
10,0,0,1563362012.306585,2.0
11,0,0,1563362013.068464,2.0
12,0,0,1563362014.914019,0.0
13,0,0,1563362017.3061929,3.0
14,0,0,1563362018.23366,2.0
15,0,0,1563362019.534556,1.0
16,0,0,1563362046.249598,1.0
17,0,0,1563362048.1592839,1.0
18,0,0,1563362048.7905972,1.0
19,0,0,1563362049.274013,1.0
20,1,1,1563362049.957044,1.0
21,0,0,1563362051.503894,0.0
22,0,0,1563362053.709428,1.0
23,0,0,1563362054.732951,2.0
24,0,0,1563362056.085702,0.0
25,0,0,1563362057.6017962,2.0
26,0,0,1563362059.052929,3.0
27,0,0,1563362060.544248,0.0
28,0,0,1563362061.8478231,1.0
29,0,0,1563362063.028024,2.0
30,0,0,1563362064.445678,0.0
31,0,0,1563362065.560818,3.0
32,0,0,1563362066.962781,2.0
33,0,0,1563362067.855895,1.0
34,0,0,1563362068.947165,3.0
35,0,0,1563362069.593577,3.0
36,0,0,1563362071.477927,1.0
37,0,0,1563362072.027819,1.0
38,1,0,1563362073.305877,0.0
39,1,1,1563362074.5700018,2.0
40,0,0,1563362076.972419,3.0
41,0,0,1563362078.1765492,3.0
42,1,0,1563362078.831981,3.0
43,0,0,1563362080.077408,0.0
44,1,0,1563362082.397117,2.0
45,1,0,1563362083.4376829,0.0
46,0,0,1563362084.446451,2.0
47,1,0,1563362085.601075,0.0
48,1,0,1563362086.536811,2.0
49,1,0,1563362087.4305768,2.0
50,0,0,1563362088.6105568,0.0
51,0,0,1563362089.1272252,0.0
52,0,0,1563362090.217503,2.0
53,1,0,1563362112.955541,2.0
54,1,0,1563362113.3889868,2.0
55,1,0,1563362114.242323,1.0
56,0,0,1563362114.4310222,1.0
57,1,1,1563362115.0051332,1.0
58,0,0,1563362116.5227678,0.0
59,0,0,1563362117.8489048,3.0
60,0,0,1563362118.832469,2.0
61,0,0,1563362120.7669828,3.0
62,0,0,1563362122.159702,0.0
63,0,0,1563362123.151912,2.0
64,0,0,1563362124.087428,3.0
65,0,0,1563362124.643689,3.0
66,0,0,1563362125.19237,3.0
67,0,0,1563362125.668381,3.0
68,1,0,1563362126.136374,3.0
69,1,0,1563362126.570224,3.0
70,1,0,1563362127.111006,3.0
71,0,0,1563362127.5703099,3.0
72,0,0,1563362128.168344,3.0
73,0,0,1563362128.6196768,3.0
74,1,0,1563362129.07003,3.0
75,1,0,1563362129.4637618,3.0
76,0,0,1563362129.843887,3.0
77,0,0,1563362130.283859,3.0
78,0,0,1563362130.725783,3.0
79,0,0,1563362131.2671008,3.0
80,0,0,1563362131.7506912,3.0
81,0,0,1563362132.209784,3.0
82,1,0,1563362132.685206,3.0
83,1,0,1563362133.1845279,3.0
84,1,0,1563362133.6775239,3.0
85,1,0,1563362136.1191528,3.0
86,1,0,1563362136.710057,3.0
87,0,0,1563362137.242094,3.0
88,1,0,1563362137.7865322,3.0
89,1,0,1563362138.369461,3.0
90,1,0,1563362139.0459971,3.0
91,1,0,1563362140.301342,2.0
92,0,0,1563362140.889555,2.0
93,0,0,1563362141.11972,2.0
94,0,0,1563362153.7281868,1.0
95,0,0,1563362154.2443578,1.0
96,0,0,1563362158.279317,1.0
97,1,0,1563362161.482742,3.0
98,1,0,1563362162.793309,3.0
99,0,0,1563362163.885216,0.0
