step,robot_task_count,task_count,timestamp,h_action
0,0,0,1563361291.8102021,
1,0,0,1563361313.591864,3.0
2,0,0,1563361316.2030349,2.0
3,0,0,1563361318.0864158,0.0
4,0,0,1563361318.569382,0.0
5,0,0,1563361319.224982,0.0
6,1,1,1563361320.03617,0.0
7,0,0,1563361323.183265,2.0
8,0,0,1563361323.6509361,2.0
9,1,1,1563361324.241909,2.0
10,0,0,1563361340.3901272,0.0
11,0,0,1563361341.9384582,0.0
12,0,0,1563361342.612142,0.0
13,0,0,1563361343.1117089,0.0
14,1,1,1563361344.503927,0.0
15,0,0,1563361345.887925,0.0
16,0,0,1563361346.585571,0.0
17,0,0,1563361347.6792152,3.0
18,1,1,1563361348.326354,3.0
19,0,0,1563361350.487106,3.0
20,0,0,1563361351.13618,3.0
21,1,1,1563361351.8669,3.0
22,0,0,1563361366.923987,0.0
23,1,1,1563361368.072232,3.0
24,1,0,1563361375.448333,0.0
25,0,0,1563361376.007613,0.0
26,1,1,1563361377.636443,0.0
27,1,0,1563361379.794333,0.0
28,0,0,1563361380.32851,0.0
29,1,1,1563361380.900181,0.0
30,0,0,1563361382.892182,1.0
31,0,0,1563361383.8436742,1.0
32,0,0,1563361384.45689,1.0
33,1,1,1563361384.988554,1.0
34,0,0,1563361387.309845,2.0
35,0,0,1563361388.447795,1.0
36,1,1,1563361389.1047401,1.0
37,0,0,1563361390.890711,2.0
38,1,0,1563361391.784422,1.0
39,0,0,1563361392.31679,1.0
40,1,1,1563361393.468587,1.0
41,0,0,1563361394.89056,0.0
42,0,0,1563361395.2394009,0.0
43,0,0,1563361395.859992,0.0
44,0,0,1563361396.538938,0.0
45,0,0,1563361397.530463,0.0
46,1,1,1563361398.222378,0.0
47,0,0,1563361401.377964,2.0
48,0,0,1563361402.914103,1.0
49,1,0,1563361403.574729,1.0
50,0,0,1563361404.063642,1.0
51,1,1,1563361412.3283598,2.0
52,0,0,1563361414.7205918,3.0
53,0,0,1563361415.183369,3.0
54,0,0,1563361415.9589639,3.0
55,0,0,1563361416.590611,3.0
56,1,1,1563361417.187056,3.0
57,0,0,1563361425.511807,2.0
58,0,0,1563361426.641682,2.0
59,0,0,1563361427.2882361,2.0
60,0,0,1563361427.946238,2.0
61,0,0,1563361428.4519958,2.0
62,1,1,1563361428.976589,2.0
63,0,0,1563361430.754913,3.0
64,0,0,1563361431.862412,3.0
65,0,0,1563361432.45107,3.0
66,0,0,1563361432.9600341,3.0
67,1,1,1563361433.532377,3.0
68,1,0,1563361434.9921331,3.0
69,0,0,1563361435.928471,0.0
70,1,1,1563361436.370313,0.0
71,0,0,1563361440.730963,0.0
72,0,0,1563361441.4929469,0.0
73,0,0,1563361442.172735,0.0
74,1,1,1563361442.8495538,0.0
75,1,0,1563361445.1752992,0.0
76,0,0,1563361447.0826309,3.0
77,1,1,1563361448.458153,3.0
78,0,0,1563361449.4196181,3.0
79,1,1,1563361449.6641998,3.0
80,0,0,1563361451.4434931,1.0
81,0,0,1563361452.642391,1.0
82,0,0,1563361453.40356,1.0
83,1,1,1563361453.8792121,1.0
84,0,0,1563361454.800535,1.0
85,1,1,1563361455.411026,1.0
86,1,0,1563361457.581953,2.0
87,0,0,1563361459.015806,1.0
88,1,1,1563361460.185432,1.0
89,1,0,1563361461.4118242,1.0
90,0,0,1563361462.666858,2.0
91,1,1,1563361463.574856,2.0
92,0,0,1563361465.034359,1.0
93,0,0,1563361470.215988,2.0
94,1,1,1563361470.816424,2.0
95,0,0,1563361472.98733,3.0
96,0,0,1563361473.643286,3.0
97,0,0,1563361475.366026,0.0
98,0,0,1563361476.1931012,0.0
99,1,1,1563361477.021766,0.0
