step,robot_task_count,task_count,timestamp,h_action
0,0,0,1563417717.372842,
1,0,0,1563417725.281259,3.0
2,0,0,1563417727.5715368,3.0
3,0,0,1563417728.055428,3.0
4,0,0,1563417728.528022,3.0
5,0,0,1563417728.966571,3.0
6,1,0,1563417729.4167008,3.0
7,0,0,1563417731.115443,0.0
8,1,1,1563417732.081654,3.0
9,0,0,1563417740.350101,2.0
10,0,0,1563417740.67698,2.0
11,1,0,1563417790.264649,1.0
12,0,0,1563417791.152915,1.0
13,1,1,1563417791.8381472,1.0
14,0,0,1563417792.0297751,1.0
15,0,0,1563417794.989755,1.0
16,0,0,1563417795.4158258,1.0
17,1,0,1563417795.8655329,1.0
18,0,0,1563417797.992206,1.0
19,1,0,1563417800.376992,3.0
20,0,0,1563417800.8273659,3.0
21,0,0,1563417801.3219981,3.0
22,0,0,1563417802.527082,0.0
23,0,0,1563417802.942859,0.0
24,0,0,1563417803.7290828,0.0
25,1,1,1563417804.224124,0.0
26,0,0,1563417808.768773,2.0
27,0,0,1563417809.253223,2.0
28,0,0,1563417809.759427,2.0
29,0,0,1563417810.231773,2.0
30,0,0,1563417810.6700768,2.0
31,1,1,1563417811.086689,2.0
32,0,0,1563417813.8656168,3.0
33,0,0,1563417814.237532,3.0
34,1,1,1563417814.676464,3.0
35,1,1,1563417818.162484,3.0
36,1,0,1563417820.760952,2.0
37,1,0,1563417820.987011,2.0
38,0,0,1563417821.234154,2.0
39,0,0,1563417821.7740312,2.0
40,0,0,1563417822.291332,2.0
41,0,0,1563417822.809155,2.0
42,0,0,1563417823.259305,2.0
43,1,1,1563417823.709517,2.0
44,0,0,1563417826.138952,0.0
45,0,0,1563417826.545441,0.0
46,0,0,1563417826.927302,0.0
47,0,0,1563417827.555994,0.0
48,0,0,1563417828.119359,0.0
49,1,1,1563417828.625202,0.0
50,0,0,1563417833.237823,0.0
51,1,1,1563417833.831977,0.0
52,0,0,1563417857.827735,1.0
53,0,0,1563417858.2899141,1.0
54,1,1,1563417858.8512409,1.0
55,1,0,1563417862.665387,0.0
56,0,0,1563417863.936251,0.0
57,0,0,1563417868.2787158,2.0
58,0,0,1563417868.728881,2.0
59,0,0,1563417869.259069,2.0
60,0,0,1563417870.3058538,1.0
61,0,0,1563417871.215348,1.0
62,0,0,1563417871.620013,1.0
63,0,0,1563417872.115201,1.0
64,0,0,1563417872.655036,1.0
65,1,1,1563417873.161153,1.0
66,0,0,1563417875.4785879,1.0
67,0,0,1563417875.8727522,1.0
68,0,0,1563417876.3660722,1.0
69,0,0,1563417876.850335,1.0
70,1,1,1563417877.4491572,1.0
71,0,0,1563417879.2584589,0.0
72,1,0,1563417880.239685,3.0
73,0,0,1563417880.587054,3.0
74,0,0,1563417881.059198,3.0
75,0,0,1563417881.642957,3.0
76,0,0,1563417882.678217,3.0
77,0,0,1563417883.465407,3.0
78,1,1,1563417884.129299,3.0
79,0,0,1563417885.692703,2.0
80,0,0,1563417886.536832,1.0
81,1,1,1563417887.684414,1.0
82,0,0,1563417889.326459,3.0
83,0,0,1563417889.6654751,3.0
84,0,0,1563417889.877355,3.0
85,0,0,1563417890.1362429,3.0
86,1,1,1563417890.6537971,3.0
87,0,0,1563417892.00457,2.0
88,0,0,1563417892.893396,1.0
89,1,1,1563417893.421577,1.0
90,1,0,1563417895.502945,0.0
91,0,0,1563417895.7288508,0.0
92,0,0,1563417896.212255,0.0
93,0,0,1563417896.841065,0.0
94,0,0,1563417897.369602,0.0
95,0,0,1563417897.9553459,0.0
96,1,1,1563417898.4722,0.0
97,0,0,1563417900.5759082,3.0
98,0,0,1563417900.993624,3.0
99,1,1,1563417901.700908,3.0
