step,robot_task_count,task_count,timestamp,h_action
0,0,0,1563417028.7858272,
1,0,0,1563417034.82577,0.0
2,0,0,1563417036.099081,3.0
3,0,0,1563417036.941368,3.0
4,0,0,1563417037.514496,3.0
5,0,0,1563417037.928892,3.0
6,1,1,1563417038.414811,3.0
7,0,0,1563417042.5661812,1.0
8,0,0,1563417043.590583,2.0
9,0,0,1563417044.130165,2.0
10,0,0,1563417044.83987,2.0
11,1,1,1563417045.7162821,1.0
12,0,0,1563417046.459085,1.0
13,0,0,1563417047.764483,3.0
14,0,0,1563417048.302884,3.0
15,0,0,1563417048.776243,3.0
16,0,0,1563417049.226859,3.0
17,0,0,1563417049.6324759,3.0
18,1,0,1563417050.0148249,3.0
19,0,0,1563417050.801719,3.0
20,1,0,1563417077.5078452,3.0
21,0,0,1563417078.8693068,0.0
22,1,0,1563417079.756832,1.0
23,0,0,1563417080.241855,1.0
24,1,0,1563417081.029952,3.0
25,0,0,1563417081.2882261,3.0
26,1,0,1563417082.298933,2.0
27,0,0,1563417082.716416,2.0
28,1,0,1563417083.20099,2.0
29,0,0,1563417083.708247,2.0
30,1,0,1563417084.5189068,1.0
31,1,0,1563417084.628478,1.0
32,0,0,1563417084.9539158,1.0
33,0,0,1563417085.3471518,1.0
34,0,0,1563417085.697121,1.0
35,0,0,1563417085.876808,1.0
36,0,0,1563417086.124439,1.0
37,1,1,1563417086.372239,1.0
38,0,0,1563417086.674739,1.0
39,0,0,1563417087.746331,3.0
40,0,0,1563417087.9136698,3.0
41,0,0,1563417088.094492,3.0
42,0,0,1563417088.2274811,3.0
43,0,0,1563417088.373882,3.0
44,1,1,1563417088.599037,3.0
45,0,0,1563417088.734059,3.0
46,0,0,1563417088.869201,3.0
47,0,0,1563417090.1869628,3.0
48,1,0,1563417090.4577248,0.0
49,0,0,1563417091.784755,0.0
50,1,1,1563417091.9181938,0.0
51,0,0,1563417092.041517,0.0
52,0,0,1563417092.131377,0.0
53,1,1,1563417120.265936,3.0
54,0,0,1563417121.998571,1.0
55,0,0,1563417122.8979998,1.0
56,0,0,1563417123.370574,1.0
57,0,0,1563417123.618848,1.0
58,0,0,1563417123.832578,1.0
59,1,1,1563417124.000434,1.0
60,0,0,1563417124.136083,1.0
61,0,0,1563417124.250263,1.0
62,1,0,1563417125.330386,3.0
63,0,0,1563417125.453629,3.0
64,1,1,1563417125.5658638,3.0
65,0,0,1563417126.970761,1.0
66,0,0,1563417128.9065118,1.0
67,0,0,1563417129.2665348,1.0
68,0,0,1563417129.557512,1.0
69,0,0,1563417129.8288808,1.0
70,1,1,1563417130.211274,1.0
71,0,0,1563417131.3578591,3.0
72,0,0,1563417131.5733278,3.0
73,0,0,1563417131.787112,3.0
74,0,0,1563417132.111516,3.0
75,1,1,1563417132.449527,3.0
76,1,1,1563417132.751989,3.0
77,0,0,1563417133.41671,1.0
78,0,0,1563417133.6983879,1.0
79,0,0,1563417133.810786,1.0
80,0,0,1563417134.148618,1.0
81,0,0,1563417135.093496,2.0
82,1,1,1563417135.2737348,2.0
83,0,0,1563417135.532418,2.0
84,0,0,1563417136.848274,0.0
85,0,0,1563417137.331102,0.0
86,0,0,1563417137.703995,0.0
87,0,0,1563417138.3452318,3.0
88,0,0,1563417138.51172,3.0
89,1,1,1563417138.951176,3.0
90,0,0,1563417139.953692,1.0
91,0,0,1563417140.8295648,2.0
92,0,0,1563417141.156857,2.0
93,1,1,1563417141.2688289,2.0
94,0,0,1563417142.5752609,3.0
95,0,0,1563417142.768141,3.0
96,1,0,1563417142.8920588,3.0
97,0,0,1563417143.206764,3.0
98,1,0,1563417144.060593,2.0
99,0,0,1563417144.3656042,2.0
