step,robot_task_count,task_count,timestamp,h_action
0,0,0,1563372776.657771,
1,0,0,1563372781.220476,3.0
2,0,0,1563372782.39006,0.0
3,0,0,1563372783.839803,1.0
4,1,1,1563372785.652419,3.0
5,0,0,1563372789.059772,2.0
6,0,0,1563372790.657699,2.0
7,1,1,1563372791.6364748,2.0
8,0,0,1563372794.852723,3.0
9,0,0,1563372796.0691168,3.0
10,0,0,1563372797.1500711,0.0
11,0,0,1563372798.6796548,0.0
12,1,1,1563372800.174835,0.0
13,0,0,1563372844.778972,1.0
14,0,0,1563372847.580888,0.0
15,0,0,1563372848.842168,3.0
16,0,0,1563372850.448506,0.0
17,0,0,1563372851.461372,0.0
18,0,0,1563372852.4512699,3.0
19,1,1,1563372853.621514,3.0
20,0,0,1563372855.5107179,2.0
21,0,0,1563372857.886122,1.0
22,0,0,1563372859.0663948,0.0
23,0,0,1563372860.103539,1.0
24,0,0,1563372860.8555279,2.0
25,1,1,1563372862.216842,2.0
26,0,0,1563372864.140476,3.0
27,0,0,1563372865.198148,3.0
28,0,0,1563372866.312413,0.0
29,0,0,1563372867.639793,3.0
30,0,0,1563372868.932429,0.0
31,1,1,1563372870.057389,3.0
32,0,0,1563372872.835978,0.0
33,0,0,1563372873.951661,0.0
34,0,0,1563372874.815943,0.0
35,0,0,1563372875.941677,1.0
36,0,0,1563372876.9336479,2.0
37,0,0,1563372878.181178,2.0
38,0,0,1563372879.057533,3.0
39,0,0,1563372880.30777,0.0
40,0,0,1563372881.284773,3.0
41,0,0,1563372882.4442098,0.0
42,0,0,1563372883.513193,2.0
43,0,0,1563372884.737775,1.0
44,0,0,1563372885.952245,1.0
45,0,0,1563372887.697658,3.0
46,0,0,1563372888.6851132,2.0
47,0,0,1563372889.9485838,1.0
48,0,0,1563372891.0160031,2.0
49,1,0,1563372892.602144,0.0
50,0,0,1563372894.402793,2.0
51,1,1,1563372895.7184021,2.0
52,0,0,1563372921.4003048,2.0
53,0,0,1563372922.358569,0.0
54,0,0,1563372923.39311,1.0
55,0,0,1563372924.124429,0.0
56,0,0,1563372925.0790322,1.0
57,1,0,1563372926.037175,2.0
58,0,0,1563372927.183412,3.0
59,0,0,1563372928.433213,2.0
60,0,0,1563372929.252384,1.0
61,0,0,1563372932.168422,0.0
62,0,0,1563372932.9082298,3.0
63,0,0,1563372933.6303601,2.0
64,0,0,1563372934.091528,1.0
65,0,0,1563372934.4397209,0.0
66,0,0,1563372935.214734,3.0
67,0,0,1563372935.66524,2.0
68,0,0,1563372936.149475,1.0
69,0,0,1563372936.792062,1.0
70,0,0,1563372937.645752,0.0
71,1,0,1563372938.591137,3.0
72,0,0,1563372939.423892,0.0
73,0,0,1563372940.4243321,3.0
74,0,0,1563372941.133848,2.0
75,0,0,1563372942.167573,1.0
76,0,0,1563372943.248121,3.0
77,0,0,1563372946.318569,3.0
78,0,0,1563372947.231589,2.0
79,1,0,1563372948.187976,1.0
80,0,0,1563372948.636837,1.0
81,0,0,1563372949.357598,1.0
82,0,0,1563372950.604363,2.0
83,0,0,1563372951.842926,3.0
84,0,0,1563372953.012969,1.0
85,1,1,1563372953.9453719,1.0
86,0,0,1563372955.47581,0.0
87,0,0,1563372956.837425,3.0
88,0,0,1563372957.985277,0.0
89,0,0,1563372959.560964,2.0
90,0,0,1563372964.273008,1.0
91,0,0,1563372965.522969,0.0
92,0,0,1563372966.9055622,1.0
93,0,0,1563372968.008939,2.0
94,0,0,1563372969.178685,3.0
95,0,0,1563372970.4961889,3.0
96,0,0,1563372980.078523,0.0
97,0,0,1563372981.408436,3.0
98,0,0,1563372983.724055,3.0
99,1,1,1563372985.332194,0.0
