step,robot_task_count,task_count,timestamp,h_action
0,0,0,1563364810.96998,
1,0,0,1563364822.483129,2.0
2,0,0,1563364823.808085,2.0
3,0,0,1563364824.6303518,1.0
4,1,1,1563364825.092133,1.0
5,0,0,1563364827.6007,3.0
6,0,0,1563364828.332331,3.0
7,0,0,1563364828.883876,3.0
8,0,0,1563364831.671912,2.0
9,0,0,1563364833.170091,0.0
10,1,0,1563364834.787176,2.0
11,0,0,1563364853.4529321,0.0
12,1,1,1563364856.308606,3.0
13,1,0,1563364860.7745411,0.0
14,0,0,1563364861.23492,0.0
15,1,0,1563364862.327438,3.0
16,0,0,1563364862.80079,3.0
17,1,1,1563364864.9931872,3.0
18,0,0,1563364866.838079,2.0
19,0,0,1563364867.0531158,2.0
20,0,0,1563364867.659015,2.0
21,0,0,1563364868.614989,1.0
22,1,1,1563364869.280483,1.0
23,0,0,1563364871.450964,2.0
24,0,0,1563364871.665886,2.0
25,0,0,1563364872.72453,1.0
26,0,0,1563364872.970089,1.0
27,0,0,1563364873.453132,1.0
28,0,0,1563364874.8595562,1.0
29,1,1,1563364875.9058402,1.0
30,0,0,1563364877.424541,0.0
31,0,0,1563364877.638668,0.0
32,0,0,1563364878.852865,3.0
33,0,0,1563364879.3139,3.0
34,1,1,1563364881.270721,3.0
35,0,0,1563364882.6889322,1.0
36,0,0,1563364882.89268,1.0
37,0,0,1563364883.092603,1.0
38,0,0,1563364883.848474,1.0
39,1,0,1563364884.892909,2.0
40,0,0,1563364885.321892,2.0
41,1,0,1563364887.18833,3.0
42,0,0,1563364887.391741,3.0
43,1,0,1563364887.6050482,3.0
44,0,0,1563364888.509279,0.0
45,0,0,1563364888.709179,0.0
46,0,0,1563364888.900026,0.0
47,0,0,1563364889.651711,0.0
48,0,0,1563364890.180483,0.0
49,1,1,1563364890.631579,0.0
50,0,0,1563364893.0723698,1.0
51,0,0,1563364907.833039,2.0
52,0,0,1563364908.0223172,2.0
53,0,0,1563364908.553716,2.0
54,0,0,1563364909.531195,1.0
55,1,1,1563364910.194922,1.0
56,1,0,1563364911.645432,0.0
57,0,0,1563364911.8158772,0.0
58,1,0,1563364911.99573,0.0
59,0,0,1563364912.830084,3.0
60,0,0,1563364912.985943,3.0
61,0,0,1563364913.165521,3.0
62,0,0,1563364913.816803,3.0
63,0,0,1563364914.18801,3.0
64,1,1,1563364914.6157389,3.0
65,0,0,1563364915.616318,1.0
66,0,0,1563364915.7954922,1.0
67,0,0,1563364916.7538502,2.0
68,0,0,1563364916.920867,2.0
69,0,0,1563364917.113149,2.0
70,1,1,1563364918.216028,2.0
71,0,0,1563364919.172192,3.0
72,1,0,1563364920.207396,0.0
73,0,0,1563364920.635937,0.0
74,0,0,1563364920.8829792,0.0
75,0,0,1563364921.894089,0.0
76,0,0,1563364922.062942,0.0
77,0,0,1563364922.254127,0.0
78,1,1,1563364922.614225,0.0
79,0,0,1563364924.065574,1.0
80,0,0,1563364924.52745,1.0
81,0,0,1563364925.235826,1.0
82,0,0,1563364925.719788,1.0
83,0,0,1563364926.21471,1.0
84,1,1,1563364926.720226,1.0
85,0,0,1563364927.7892768,0.0
86,0,0,1563364928.139402,0.0
87,1,1,1563364928.7465081,0.0
88,0,0,1563364931.4225228,1.0
89,0,0,1563364932.311859,2.0
90,0,0,1563364932.874424,2.0
91,1,1,1563364933.774296,2.0
92,0,0,1563364935.045517,3.0
93,0,0,1563364935.472589,3.0
94,0,0,1563364935.9224021,3.0
95,0,0,1563364936.417415,3.0
96,0,0,1563364936.901412,3.0
97,1,1,1563364937.3852532,3.0
98,0,0,1563364939.263606,0.0
99,0,0,1563364940.118752,0.0
