step,robot_task_count,task_count,timestamp,h_action
0,0,0,1563416264.19393,
1,0,0,1563416269.251872,0.0
2,0,0,1563416272.274813,2.0
3,0,0,1563416273.4679859,3.0
4,0,0,1563416275.740064,0.0
5,0,0,1563416276.965306,3.0
6,1,1,1563416278.0905118,0.0
7,1,0,1563416287.045353,1.0
8,0,0,1563416289.059484,0.0
9,0,0,1563416290.5786119,0.0
10,0,0,1563416292.571705,3.0
11,1,0,1563416293.525096,3.0
12,0,0,1563416294.380915,3.0
13,1,1,1563416296.078184,0.0
14,0,0,1563416318.003072,1.0
15,0,0,1563416319.7035892,1.0
16,1,0,1563416324.452769,2.0
17,1,0,1563416327.397894,2.0
18,0,0,1563416328.51073,2.0
19,0,0,1563416332.358658,1.0
20,0,0,1563416333.2587771,1.0
21,0,0,1563416334.236404,1.0
22,0,0,1563416335.058439,1.0
23,1,1,1563416335.789918,1.0
24,0,0,1563416338.6586812,0.0
25,0,0,1563416341.439334,3.0
26,1,0,1563416342.5631921,3.0
27,0,0,1563416343.8568819,3.0
28,1,1,1563416346.026657,0.0
29,0,0,1563416349.7834308,2.0
30,0,0,1563416352.642208,0.0
31,0,0,1563416353.483744,0.0
32,0,0,1563416354.3291678,0.0
33,0,0,1563416355.769701,3.0
34,0,0,1563416358.558439,3.0
35,1,1,1563416359.4466,3.0
36,0,0,1563416365.1285079,2.0
37,0,0,1563416366.108159,3.0
38,0,0,1563416367.108574,3.0
39,0,0,1563416368.2233431,2.0
40,0,0,1563416369.0646,1.0
41,0,0,1563416369.853207,2.0
42,0,0,1563416370.787332,1.0
43,1,1,1563416371.822332,1.0
44,0,0,1563416374.736211,0.0
45,0,0,1563416376.6485372,3.0
46,0,0,1563416377.61752,3.0
47,0,0,1563416378.414606,2.0
48,1,0,1563416379.573993,2.0
49,0,0,1563416380.498388,1.0
50,0,0,1563416381.293062,1.0
51,0,0,1563416382.22696,1.0
52,0,0,1563416384.286293,0.0
53,0,0,1563416385.794577,3.0
54,0,0,1563416386.707743,2.0
55,0,0,1563416387.673084,1.0
56,1,0,1563416390.4849339,0.0
57,0,0,1563416391.464876,2.0
58,1,1,1563416392.734847,1.0
59,0,0,1563416409.059607,2.0
60,0,0,1563416411.996964,2.0
61,1,0,1563416413.989515,2.0
62,0,0,1563416415.541933,0.0
63,0,0,1563416416.361862,0.0
64,0,0,1563416417.081079,0.0
65,0,0,1563416420.094932,1.0
66,0,0,1563416423.2904131,3.0
67,1,1,1563416424.358389,0.0
68,0,0,1563416426.7770839,2.0
69,0,0,1563416427.803286,2.0
70,0,0,1563416428.9827719,3.0
71,0,0,1563416429.939496,3.0
72,1,0,1563416431.33632,0.0
73,0,0,1563416432.201452,1.0
74,0,0,1563416432.9187589,0.0
75,0,0,1563416433.7085068,0.0
76,0,0,1563416434.8438232,3.0
77,0,0,1563416435.889704,0.0
78,1,1,1563416437.745982,3.0
79,1,0,1563416441.177183,0.0
80,0,0,1563416441.796004,0.0
81,0,0,1563416443.294176,1.0
82,0,0,1563416443.855005,1.0
83,0,0,1563416444.743951,2.0
84,0,0,1563416446.182833,3.0
85,0,0,1563416446.73615,3.0
86,0,0,1563416447.28536,3.0
87,0,0,1563416448.254005,0.0
88,0,0,1563416449.3342578,0.0
89,1,1,1563416450.154277,0.0
90,0,0,1563416452.393148,3.0
91,0,0,1563416453.0921779,3.0
92,0,0,1563416454.148475,2.0
93,0,0,1563416455.431796,3.0
94,0,0,1563416456.105865,2.0
95,0,0,1563416457.0510678,2.0
96,1,0,1563416457.8730218,1.0
97,1,0,1563416458.9076211,0.0
98,0,0,1563416459.581849,0.0
99,0,0,1563416460.381616,0.0
