step,robot_task_count,task_count,timestamp,h_action
0,0,0,1563333405.0757928,
1,0,0,1563333414.3856041,3.0
2,0,0,1563333415.206217,0.0
3,0,0,1563333416.800828,1.0
4,1,1,1563333418.2862751,3.0
5,0,0,1563333421.628027,1.0
6,0,0,1563333422.8085172,2.0
7,0,0,1563333447.226431,0.0
8,0,0,1563333448.363074,2.0
9,0,0,1563333449.389262,2.0
10,1,1,1563333450.052157,2.0
11,0,0,1563333452.453711,3.0
12,0,0,1563333453.182658,0.0
13,0,0,1563333453.747147,0.0
14,0,0,1563333454.116608,0.0
15,1,1,1563333454.280373,0.0
16,1,0,1563333455.821769,1.0
17,0,0,1563333456.305759,1.0
18,0,0,1563333456.8636742,1.0
19,0,0,1563333457.322112,1.0
20,0,0,1563333457.486079,1.0
21,0,0,1563333457.641762,1.0
22,1,1,1563333457.8008761,1.0
23,0,0,1563333459.681121,3.0
24,1,0,1563333461.637347,0.0
25,0,0,1563333461.816232,0.0
26,0,0,1563333462.396708,0.0
27,0,0,1563333463.575955,0.0
28,0,0,1563333463.748193,0.0
29,0,0,1563333464.206621,0.0
30,1,1,1563333464.386878,0.0
31,0,0,1563333466.188549,2.0
32,0,0,1563333466.863898,2.0
33,0,0,1563333467.5760481,1.0
34,0,0,1563333468.27246,1.0
35,0,0,1563333468.428724,1.0
36,1,1,1563333468.589538,1.0
37,0,0,1563333468.7318358,1.0
38,0,0,1563333471.1206248,3.0
39,1,0,1563333471.2723892,3.0
40,0,0,1563333471.427105,3.0
41,1,1,1563333473.28017,3.0
42,0,0,1563333474.8873641,1.0
43,0,0,1563333475.763956,2.0
44,0,0,1563333476.8111758,2.0
45,1,1,1563333477.34592,2.0
46,0,0,1563333484.2697458,1.0
47,0,0,1563333484.721631,1.0
48,0,0,1563333485.247092,1.0
49,0,0,1563333485.607379,1.0
50,1,1,1563333485.763801,1.0
51,0,0,1563333530.901713,3.0
52,0,0,1563333531.555137,3.0
53,0,0,1563333532.031856,3.0
54,0,0,1563333532.355802,3.0
55,0,0,1563333532.630671,3.0
56,1,1,1563333533.08918,3.0
57,0,0,1563333534.5243032,1.0
58,0,0,1563333535.271446,2.0
59,0,0,1563333535.654735,2.0
60,0,0,1563333536.016242,2.0
61,0,0,1563333536.246598,2.0
62,1,1,1563333536.540403,2.0
63,0,0,1563333538.573557,0.0
64,0,0,1563333538.923985,0.0
65,0,0,1563333539.2217119,0.0
66,0,0,1563333539.622976,0.0
67,0,0,1563333540.0236192,0.0
68,1,1,1563333540.4342039,0.0
69,0,0,1563333541.917527,1.0
70,0,0,1563333543.483763,2.0
71,0,0,1563333543.695518,2.0
72,0,0,1563333543.901365,2.0
73,1,1,1563333544.3349252,2.0
74,0,0,1563333546.171838,0.0
75,0,0,1563333546.3356779,0.0
76,0,0,1563333546.532285,0.0
77,0,0,1563333547.205208,3.0
78,1,1,1563333547.991105,3.0
79,1,0,1563333550.433482,2.0
80,0,0,1563333550.715791,2.0
81,1,0,1563333551.740104,1.0
82,1,0,1563333551.9005818,1.0
83,0,0,1563333552.057295,1.0
84,0,0,1563333552.6159701,1.0
85,0,0,1563333553.0714638,1.0
86,0,0,1563333553.2537549,1.0
87,0,0,1563333553.557622,1.0
88,1,1,1563333553.900888,1.0
89,0,0,1563333555.343904,1.0
90,0,0,1563333556.648489,3.0
91,0,0,1563333556.822402,3.0
92,0,0,1563333557.352748,3.0
93,0,0,1563333557.7543821,3.0
94,1,1,1563333557.88779,3.0
95,0,0,1563333559.630999,1.0
96,0,0,1563333559.788189,1.0
97,0,0,1563333559.942729,1.0
98,1,1,1563333560.074081,1.0
99,0,0,1563333562.434315,1.0
