step,robot_task_count,task_count,timestamp,h_action
0,0,0,1563371933.408587,
1,0,0,1563371937.978349,2.0
2,0,0,1563371939.610095,2.0
3,0,0,1563371940.611701,1.0
4,1,1,1563371941.297535,1.0
5,0,0,1563371944.537466,3.0
6,0,0,1563371945.201555,3.0
7,1,1,1563371945.9099982,3.0
8,0,0,1563371947.923017,2.0
9,0,0,1563371949.9476879,3.0
10,0,0,1563371951.3747442,1.0
11,1,0,1563371953.019757,0.0
12,0,0,1563371986.350803,2.0
13,1,0,1563371988.68045,3.0
14,0,0,1563371989.4890418,3.0
15,1,0,1563371990.346334,3.0
16,0,0,1563371991.348472,0.0
17,0,0,1563371992.191707,0.0
18,0,0,1563371993.518768,1.0
19,0,0,1563371994.407371,0.0
20,0,0,1563371995.5324092,3.0
21,1,0,1563371998.152199,2.0
22,0,0,1563371999.5484538,2.0
23,1,0,1563372001.212821,0.0
24,0,0,1563372002.461993,0.0
25,1,0,1563372003.6305878,1.0
26,0,0,1563372005.151489,1.0
27,1,0,1563372005.848681,1.0
28,0,0,1563372007.008469,2.0
29,0,0,1563372007.535213,2.0
30,0,0,1563372008.277293,2.0
31,0,0,1563372009.975897,3.0
32,0,0,1563372011.4387908,1.0
33,1,1,1563372012.1921432,2.0
34,0,0,1563372014.577112,3.0
35,0,0,1563372017.243645,0.0
36,0,0,1563372017.906789,0.0
37,0,0,1563372018.4467268,0.0
38,1,1,1563372018.908158,0.0
39,0,0,1563372024.18243,2.0
40,0,0,1563372024.757331,2.0
41,1,0,1563372025.7051258,1.0
42,1,0,1563372026.063157,1.0
43,0,0,1563372026.613919,1.0
44,0,0,1563372028.199719,1.0
45,0,0,1563372028.8297222,1.0
46,0,0,1563372029.381589,1.0
47,0,0,1563372029.954432,1.0
48,1,0,1563372031.361141,0.0
49,0,0,1563372078.641443,3.0
50,0,0,1563372079.8815591,3.0
51,0,0,1563372080.330415,3.0
52,0,0,1563372081.3102038,0.0
53,0,0,1563372082.108511,1.0
54,0,0,1563372082.422664,1.0
55,0,0,1563372082.872604,1.0
56,0,0,1563372083.660573,0.0
57,0,0,1563372084.2452438,3.0
58,0,0,1563372084.560199,3.0
59,0,0,1563372085.022146,3.0
60,0,0,1563372086.5282938,2.0
61,0,0,1563372087.6546,2.0
62,1,0,1563372088.73498,0.0
63,0,0,1563372089.937922,0.0
64,1,1,1563372091.703267,0.0
65,0,0,1563372093.715809,2.0
66,0,0,1563372094.414824,2.0
67,0,0,1563372095.057654,2.0
68,1,0,1563372096.428555,3.0
69,0,0,1563372097.1489558,3.0
70,1,0,1563372098.9734862,0.0
71,0,0,1563372099.5901592,1.0
72,0,0,1563372100.062212,1.0
73,0,0,1563372100.873457,0.0
74,0,0,1563372101.5584588,0.0
75,0,0,1563372102.6379158,1.0
76,0,0,1563372104.958452,2.0
77,0,0,1563372105.473485,2.0
78,0,0,1563372106.0695639,2.0
79,0,0,1563372107.959452,2.0
80,1,1,1563372108.5219169,2.0
81,0,0,1563372109.837117,3.0
82,0,0,1563372111.4478452,1.0
83,0,0,1563372112.527592,1.0
84,0,0,1563372113.257997,1.0
85,1,0,1563372114.563425,3.0
86,0,0,1563372114.979221,3.0
87,0,0,1563372115.9804852,2.0
88,0,0,1563372116.766811,2.0
89,0,0,1563372117.972003,1.0
90,0,0,1563372119.411556,1.0
91,1,0,1563372121.0090911,0.0
92,0,0,1563372122.111493,2.0
93,1,1,1563372122.774011,2.0
94,0,0,1563372124.789231,0.0
95,0,0,1563372125.464365,1.0
96,0,0,1563372126.04771,1.0
97,1,1,1563372126.994805,2.0
98,0,0,1563372128.286547,3.0
99,0,0,1563372128.907152,3.0
