step,robot_task_count,task_count,timestamp,h_action
0,0,0,1563362972.694144,
1,0,0,1563362977.812392,1.0
2,0,0,1563362979.915933,2.0
3,0,0,1563362981.2204921,1.0
4,0,0,1563362982.469648,2.0
5,0,0,1563362984.100826,1.0
6,0,0,1563362985.4058182,2.0
7,0,0,1563362987.217029,3.0
8,0,0,1563362989.871161,1.0
9,0,0,1563362991.211034,2.0
10,0,0,1563362992.582994,3.0
11,0,0,1563362993.865534,1.0
12,1,1,1563362994.911295,2.0
13,1,0,1563363010.6273658,2.0
14,0,0,1563363011.808307,3.0
15,0,0,1563363012.685819,3.0
16,0,0,1563363013.867002,0.0
17,0,0,1563363014.958185,3.0
18,0,0,1563363017.410843,2.0
19,0,0,1563363020.526224,1.0
20,0,0,1563363022.438259,0.0
21,1,0,1563363023.856711,2.0
22,0,0,1563363025.2407308,2.0
23,0,0,1563363026.466708,1.0
24,0,0,1563363027.985473,2.0
25,1,0,1563363030.280477,3.0
26,0,0,1563363031.7083871,1.0
27,1,1,1563363032.8228369,1.0
28,0,0,1563363043.960403,0.0
29,0,0,1563363045.209088,3.0
30,0,0,1563363055.3449512,3.0
31,0,0,1563363057.5610712,0.0
32,0,0,1563363059.034498,1.0
33,0,0,1563363061.003414,0.0
34,0,0,1563363062.1846662,3.0
35,0,0,1563363063.56806,2.0
36,0,0,1563363064.7383502,0.0
37,0,0,1563363066.212003,2.0
38,0,0,1563363077.269724,1.0
39,0,0,1563363078.721138,2.0
40,0,0,1563363079.7106931,1.0
41,0,0,1563363080.858607,2.0
42,0,0,1563363082.028539,1.0
43,1,1,1563363083.546753,2.0
44,0,0,1563363090.4769258,0.0
45,0,0,1563363091.42216,0.0
46,0,0,1563363092.412073,0.0
47,0,0,1563363093.31113,3.0
48,0,0,1563363096.147089,0.0
49,0,0,1563363097.934528,1.0
50,0,0,1563363099.33066,3.0
51,0,0,1563363100.420827,2.0
52,0,0,1563363111.603206,2.0
53,0,0,1563363112.221869,2.0
54,0,0,1563363113.1444411,1.0
55,0,0,1563363113.358151,1.0
56,0,0,1563363114.561974,0.0
57,0,0,1563363115.630632,2.0
58,0,0,1563363116.406313,1.0
59,1,1,1563363118.791884,1.0
60,0,0,1563363123.572342,3.0
61,0,0,1563363123.8992069,3.0
62,0,0,1563363126.013828,3.0
63,0,0,1563363127.936718,2.0
64,0,0,1563363129.5690129,1.0
65,0,0,1563363131.538403,0.0
66,0,0,1563363132.955182,2.0
67,0,0,1563363133.7760751,2.0
68,0,0,1563363135.295006,1.0
69,0,0,1563363136.892494,2.0
70,0,0,1563363138.1975,1.0
71,0,0,1563363139.884947,3.0
72,0,0,1563363140.3237429,3.0
73,0,0,1563363142.168585,1.0
74,0,0,1563363143.9907799,0.0
75,0,0,1563363145.048597,1.0
76,0,0,1563363146.252307,2.0
77,0,0,1563363147.658426,3.0
78,0,0,1563363148.28795,3.0
79,0,0,1563363149.481052,0.0
80,0,0,1563363151.202224,0.0
81,0,0,1563363152.7099679,0.0
82,0,0,1563363154.217072,2.0
83,1,0,1563363161.2034261,2.0
84,0,0,1563363163.554604,1.0
85,1,0,1563363164.195811,1.0
86,0,0,1563363165.37715,2.0
87,0,0,1563363167.267049,0.0
88,0,0,1563363169.5282428,3.0
89,0,0,1563363170.630291,1.0
90,0,0,1563363171.789493,2.0
91,0,0,1563363174.769977,3.0
92,0,0,1563363176.097791,2.0
93,0,0,1563363177.627965,1.0
94,0,0,1563363180.721778,2.0
95,0,0,1563363181.329087,2.0
96,0,0,1563363182.2734861,1.0
97,0,0,1563363183.252867,2.0
98,0,0,1563363183.454772,2.0
99,0,0,1563363184.231564,2.0
