step,robot_task_count,task_count,timestamp,h_action
0,0,0,1563425534.195159,
1,0,0,1563425542.9961889,1.0
2,0,0,1563425547.1036959,1.0
3,0,0,1563425548.971203,2.0
4,1,1,1563425550.52426,2.0
5,0,0,1563425588.9281259,2.0
6,1,1,1563425590.009546,1.0
7,0,0,1563425592.247117,2.0
8,1,0,1563425593.161794,1.0
9,0,0,1563425593.7095559,1.0
10,1,1,1563425598.478715,1.0
11,0,0,1563425600.156828,1.0
12,1,1,1563425602.6306822,1.0
13,0,0,1563425604.228702,1.0
14,0,0,1563425604.768091,1.0
15,0,0,1563425605.89217,2.0
16,1,1,1563425606.512424,2.0
17,0,0,1563425612.835045,2.0
18,0,0,1563425613.4866939,2.0
19,1,1,1563425614.06141,2.0
20,0,0,1563425615.747692,2.0
21,0,0,1563425616.266695,2.0
22,0,0,1563425617.245835,1.0
23,0,0,1563425618.110929,2.0
24,1,1,1563425619.1234298,1.0
25,0,0,1563425619.719717,1.0
26,1,0,1563425621.620847,0.0
27,0,0,1563425622.351692,0.0
28,1,0,1563425624.390676,3.0
29,0,0,1563425625.0742989,3.0
30,0,0,1563425625.624525,3.0
31,0,0,1563425626.659581,3.0
32,0,0,1563425627.31307,3.0
33,0,0,1563425627.819307,3.0
34,1,1,1563425628.348159,3.0
35,0,0,1563425629.258964,3.0
36,0,0,1563425631.082096,0.0
37,0,0,1563425632.343146,3.0
38,0,0,1563425633.287821,3.0
39,1,1,1563425635.1877031,3.0
40,0,0,1563425636.648784,0.0
41,0,0,1563425637.291903,0.0
42,0,0,1563425639.8688462,3.0
43,1,1,1563425640.789441,3.0
44,0,0,1563425642.217154,0.0
45,1,0,1563425642.749287,0.0
46,0,0,1563425643.7950919,0.0
47,1,1,1563425644.9863849,3.0
48,0,0,1563425648.203997,0.0
49,0,0,1563425649.2280772,0.0
50,1,0,1563425650.262932,0.0
51,0,0,1563425653.457642,3.0
52,1,1,1563425656.280482,0.0
53,0,0,1563425657.281873,3.0
54,0,0,1563425658.1701918,3.0
55,0,0,1563425658.710005,3.0
56,0,0,1563425660.420562,0.0
57,1,1,1563425661.0280461,0.0
58,0,0,1563425662.4008021,0.0
59,0,0,1563425662.728014,0.0
60,0,0,1563425663.311171,0.0
61,0,0,1563425664.2130141,3.0
62,0,0,1563425664.730433,3.0
63,1,1,1563425671.1392949,3.0
64,0,0,1563425672.0970829,3.0
65,0,0,1563425672.616438,3.0
66,0,0,1563425673.470114,3.0
67,0,0,1563425674.066611,3.0
68,1,1,1563425674.583024,3.0
69,0,0,1563425675.2460952,3.0
70,0,0,1563425676.9574459,3.0
71,0,0,1563425677.6676228,3.0
72,0,0,1563425679.8164191,0.0
73,1,1,1563425681.1973288,0.0
74,0,0,1563425682.323033,3.0
75,0,0,1563425682.84177,3.0
76,0,0,1563425683.4612029,3.0
77,0,0,1563425684.339062,0.0
78,0,0,1563425685.720536,0.0
79,1,1,1563425688.027411,3.0
80,1,0,1563425689.2850869,0.0
81,0,0,1563425690.054044,0.0
82,1,1,1563425690.649875,0.0
83,0,0,1563425692.0772412,0.0
84,1,0,1563425692.6728718,0.0
85,0,0,1563425693.540216,3.0
86,1,1,1563425694.9235358,3.0
87,1,0,1563425695.6661608,3.0
88,0,0,1563425696.17247,3.0
89,0,0,1563425696.65554,3.0
90,0,0,1563425698.5124311,3.0
91,1,1,1563425699.7716439,0.0
92,0,0,1563425701.031942,3.0
93,0,0,1563425702.0099552,3.0
94,1,1,1563425702.5057101,3.0
95,0,0,1563425703.696866,3.0
96,0,0,1563425704.025069,3.0
97,0,0,1563425704.2490702,3.0
98,0,0,1563425704.811788,3.0
99,1,1,1563425705.441801,3.0
