step,robot_task_count,task_count,timestamp,h_action
0,0,0,1563416596.358539,
1,0,0,1563416732.078629,1.0
2,0,0,1563416735.171819,2.0
3,0,0,1563416738.400793,2.0
4,1,1,1563416739.920316,1.0
5,0,0,1563416746.5905979,1.0
6,0,0,1563416749.482374,1.0
7,0,0,1563416752.350306,0.0
8,0,0,1563416753.261407,2.0
9,0,0,1563416754.161556,1.0
10,0,0,1563416754.8251479,1.0
11,0,0,1563416814.637523,0.0
12,0,0,1563416815.740412,2.0
13,0,0,1563416816.955491,0.0
14,0,0,1563416817.540403,2.0
15,0,0,1563416818.665328,2.0
16,0,0,1563416819.305207,2.0
17,0,0,1563416819.903521,0.0
18,0,0,1563416820.184115,0.0
19,0,0,1563416820.813931,2.0
20,0,0,1563416821.039486,2.0
21,0,0,1563416821.152457,2.0
22,0,0,1563416822.1077812,1.0
23,0,0,1563416822.523909,1.0
24,0,0,1563416823.289539,2.0
25,0,0,1563416823.693988,2.0
26,0,0,1563416825.044053,0.0
27,0,0,1563416825.988641,0.0
28,0,0,1563416827.136359,2.0
29,0,0,1563416828.9362109,3.0
30,0,0,1563416829.881112,1.0
31,0,0,1563416831.1419468,2.0
32,0,0,1563416832.2210639,3.0
33,0,0,1563416832.998153,1.0
34,0,0,1563416833.87479,2.0
35,0,0,1563416835.1793878,3.0
36,0,0,1563416836.112135,1.0
37,0,0,1563416836.822975,3.0
38,0,0,1563416837.65553,0.0
39,0,0,1563416838.341898,2.0
40,0,0,1563416838.892509,2.0
41,0,0,1563416839.3757608,2.0
42,0,0,1563416840.3892748,0.0
43,0,0,1563416840.7147698,0.0
44,0,0,1563416841.8172019,2.0
45,0,0,1563416842.346061,2.0
46,0,0,1563416843.347662,0.0
47,0,0,1563416843.549715,0.0
48,0,0,1563416843.786056,0.0
49,0,0,1563416846.688256,2.0
50,0,0,1563416847.745107,2.0
51,0,0,1563416920.6639738,3.0
52,0,0,1563416921.631551,3.0
53,0,0,1563416922.294742,0.0
54,0,0,1563416922.722485,0.0
55,0,0,1563416923.645428,1.0
56,0,0,1563416924.11761,1.0
57,0,0,1563416924.803912,3.0
58,0,0,1563416925.0849988,3.0
59,0,0,1563416926.0977669,2.0
60,0,0,1563416926.457543,2.0
61,0,0,1563416927.334672,2.0
62,0,0,1563416927.886384,2.0
63,0,0,1563416928.832022,1.0
64,0,0,1563416929.31486,1.0
65,0,0,1563416930.5745778,0.0
66,0,0,1563416931.216164,1.0
67,0,0,1563416931.744512,2.0
68,1,1,1563416932.116334,2.0
69,0,0,1563416936.0311308,3.0
70,0,0,1563416938.16853,1.0
71,1,0,1563416939.97957,1.0
72,0,0,1563416941.2059882,2.0
73,0,0,1563416942.949641,3.0
74,0,0,1563416944.5356228,2.0
75,0,0,1563416945.818166,0.0
76,0,0,1563416946.808395,2.0
77,0,0,1563416947.696555,1.0
78,0,0,1563416948.7207959,3.0
79,0,0,1563416949.609281,1.0
80,0,0,1563416950.5094311,2.0
81,0,0,1563416951.48772,0.0
82,0,0,1563416952.546029,2.0
83,0,0,1563416953.378135,0.0
84,0,0,1563416954.289271,2.0
85,0,0,1563416955.34605,2.0
86,0,0,1563416956.033119,2.0
87,0,0,1563416956.629411,2.0
88,0,0,1563416957.101608,2.0
89,0,0,1563416957.4619808,2.0
90,0,0,1563416957.842974,2.0
91,0,0,1563416958.091446,2.0
92,0,0,1563416958.305758,2.0
93,0,0,1563416958.530134,2.0
94,0,0,1563416958.755522,2.0
95,0,0,1563416959.194855,2.0
96,0,0,1563416959.633503,2.0
97,0,0,1563416960.082098,2.0
98,0,0,1563416961.106295,2.0
99,0,0,1563416961.702629,2.0
