T,P
0.003999950167666733,0
0.001999965521509885,2
0.012498451141384202,3
0.021246736971265882,1
0.016998326411636507,1
0.020247104276333024,4
0.02924103019852884,4
0.042224470306772094,2
0.049206703397468785,4
0.06341455919095998,2
0.07709275777618449,1
0.08082302560416635,1
0.08404908394925831,2
0.08628411629285382,1
0.11177773556246991,1
0.12041180412841143,3
0.13050071744902517,2
0.13123818232226345,3
0.14105093936810184,5
0.1579103624892871,3
0.17031924103543541,3
0.18291002158887787,3
0.19617059631286998,2
0.21054508710660383,3
0.220082254586965,3
0.23360448160723934,2
0.24279760158565167,3
0.25498799471040245,5
0.2650195120189431,2
0.2673369659903304,2
0.28097899023718775,3
0.28535233339738114,2
0.2867289427177563,2
0.2901662606668592,2
0.2990703468028368,3
0.31175647523284,3
0.3290307551923629,3
0.36024243124808636,5
0.39564389159670926,3
0.4279947356634889,2
0.449018472824304,4
0.46091979937666105,3
0.479236833173747,3
0.4886159124835922,2
0.5085139757636913,3
0.5144398059040128,2
0.521206234926,3
0.5261080877330537,2
0.5329330372973247,2
0.5359799558492865,1
0.5421808221348535,4
0.5488566073771406,3
0.5582231591391705,2
0.5575339091475937,2
0.5558093914717707,1
0.5589049151308737,3
0.5718156081497452,3
0.580508233900368,3
0.591679277745358,3
0.5958845851519221,3
0.600526668122478,2
0.6117695692876747,3
0.6184312808876731,3
0.6407049407947015,3
0.650403358464198,2
0.6552697286307609,3
0.6692923162847431,3
0.6776438788343913,1
0.6771002407978032,4
0.6920990069309426,2
0.6952213429651166,3
0.7049057183830428,1
0.7091611959743981,3
0.7143312880029751,2
0.7222025512841479,2
0.7289528193717553,3
0.7379295749258735,3
0.7492410574765069,3
0.7633577130331816,4
0.7688187017139946,3
0.7796301901823159,4
0.7874662036849668,2
0.7872826367118186,2
0.7923508839056707,3
0.7977672006191828,3
0.8070445305568994,2
0.8054710430110468,2
0.8083337387420103,4
0.8144120714524374,3
0.8160886875002061,3
0.8188262389407248,2
0.8218448493939178,4
0.823064681353977,1
0.8272816275053085,4
0.832578267388071,2
0.8335773033435728,3
0.8347184023314682,1
0.8409548961114618,5
0.8448121035885876,1
0.8445513553049265,3
